type,organization,comment,coords,photo,address,district,subdistrict,province,timestamp
ขยะ,เพื่อนชัชชาติ,ขยะวางเกลื่อน,"[100.558344980627,13.7384251929412]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/80bf03d365e05daca1853ce5643c4b5c54376129.jpg,"สุขุมวิท ซอย 12 แขวง คลองเตย เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",วัฒนา,คลองเตยเหนือ,กรุงเทพมหานคร,"2022-01-29 12:38:12.195921+00"
ทางเท้า,เพื่อนชัชชาติ,ทางเท้า,"[100.496938,13.651752]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/62b8ea032b3497fc14905c75a95534991115f49e.jpg,"839 3 ถ. ประชาอุทิศ แขวง บางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 ประเทศไทย",ทุ่งครุ,บางมด,กรุงเทพมหานคร,"2022-01-29 11:35:39.519162+00"
อื่นๆ,เพื่อนชัชชาติ,ขอบคุณมากค่ะ,"[100.518154,13.78859]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/12d0cb5d1b178236404456bc49d099ff95e55ea2.jpg,"142 ซอย องครักษ์ 6 แขวง ถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย",ดุสิต,ถนนนครไชยศรี,กรุงเทพมหานคร,"2022-01-29 10:54:11.873046+00"
อื่นๆ,เพื่อนชัชชาติ,ท่อชำรุด,"[100.571679063141,13.7363308153344]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/0dcdf3cf24ee5a4ee58801cef4944ea383569a16.jpg,"51/2 ถนน สุขุมวิท แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย",วัฒนา,คลองตันเหนือ,กรุงเทพมหานคร,"2022-01-29 06:34:22.464447+00"
อื่นๆ,เพื่อนชัชชาติ,ทางม้าลายแยกสาทรวิทยุไม่ชัด,"[100.544784,13.725774]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/96684f21855fa53075658e5521bf8060be5aa48e.jpg,"1024 ถนนพระรามที่ ๔ แขวง ทุ่งมหาเมฆ เขต สาทร กรุงเทพมหานคร 10120 ประเทศไทย",ปทุมวัน,ลุมพินี,กรุงเทพมหานคร,"2022-01-29 05:47:16.262887+00"
อื่นๆ,เพื่อนชัชชาติ,"หน้าสยามสเคป มีแม่ค้ามาตั้งขายบนทางเท้า ร้องเรียน กทม ไปสามรอบแล้ว แต่ขาดการแก้ปัญหาที่ยั่งยืนครับ","[100.530599,13.74388]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/2702985d6129ea2e1df7fad0826f99e64617f486.jpg,"ป้ายรถเมล์หน้าห้างมาบุญครอง ถ. พญาไท แขวง ปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย",ปทุมวัน,ปทุมวัน,กรุงเทพมหานคร,"2022-01-29 05:32:18.70646+00"
อื่นๆ,เพื่อนชัชชาติ,ทางเท้าชำรุด,"[100.570809356868,13.7319835074882]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/163c20b6a463d4b37adc3d2c6edea724288334a7.jpg,"11 ถนน สุขุมวิท แขวง คลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย",คลองเตย,คลองตัน,กรุงเทพมหานคร,"2022-01-29 05:29:39.066153+00"
อื่นๆ,เพื่อนชัชชาติ,"ฝุ่น มลพิษทางอากาศ","[100.7161,13.742551]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/7d8aec5d46af61b43b1dcc3a1e0c9e4f615c526a.jpg,"เลขที่ 67 9 ถนน พัฒนาชนบท 3 แขวง คลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย",ลาดกระบัง,คลองสองต้นนุ่น,กรุงเทพมหานคร,"2022-01-29 04:47:14.301446+00"
อื่นๆ,เพื่อนชัชชาติ,"ฝาท่อระบายน้ำ ทางเท้าไม่เรียบร้อย","[100.730036,13.762999]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/ffb8ebd7a2fa6f3e7b10b0bfdd9ea5130fdf21d4.jpg,"160 ถนน เคหะร่มเกล้า แขวง คลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย",ลาดกระบัง,คลองสองต้นนุ่น,กรุงเทพมหานคร,"2022-01-29 01:53:08.185947+00"
อื่นๆ,เพื่อนชัชชาติ,"แป้นบาส เสียหาย สวน 60 ปี","[100.731683293572,13.7647560833939]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/3e44dd68aa27c749b4e3cad9a078ce23f0e81683.jpg,"1184/39 ซอย เคหะร่มเกล้า 29 แขวง ลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย",ลาดกระบัง,คลองสองต้นนุ่น,กรุงเทพมหานคร,"2022-01-29 00:31:32.304949+00"
จราจร,เพื่อนชัชชาติ,"ใช้ถนนเป็นที่จอดรถ ขวางทางสัญจร","[100.568961518508,13.7838710449596]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/189325652aca0d870ce1b1de3f74cff0ca830954.jpg,"20 ซอย อินทามระ 51 แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2022-01-28 22:40:11.598576+00"
ขยะ,เพื่อนชัชชาติ,"จะมีกองขยะริม ถนนมหาพฤฒาราม ทุกครั้งที่เดินผ่านช่วงเย็น-กลางคืน","[100.516238808632,13.7353869730597]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/81a4e0373734a51ab77563f7ad60a50b5380cede.jpg,"339 ถนนมหาพฤฒาราม แขวง มหาพฤฒาราม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย",ปทุมวัน,รองเมือง,กรุงเทพมหานคร,"2022-01-28 15:13:10.278741+00"
จราจร,เพื่อนชัชชาติ,"รถจอดในซอยตรีมิตร ทำให้ถนนเหลือเลนเดียว","[100.584688,13.710235]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/44dfa8a96d86581c8785173ed3d2a6df5598a089.jpg,"150 ถนน กล้วยน้ำไท แขวง พระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย",คลองเตย,คลองเตย,กรุงเทพมหานคร,"2022-01-28 10:53:48.768002+00"
อื่นๆ,เพื่อนชัชชาติ,"มอเตอร์ไซค์หยุดรถบนทางม้าลาย ที่แยกอโศก ทั้งๆที่ป้อมตำรวจอยู่ตรงข้าม แต่ไม่มีตำรวจคอยจัดการ เป็นแบบนี้ทุกวัน","[100.561727,13.736553]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/4c592b75d44bc64b4d95475653fd90533c994c7d.jpg,"413 ถ. สุขุมวิท แขวง คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย",วัฒนา,คลองเตยเหนือ,กรุงเทพมหานคร,"2022-01-28 10:03:26.581991+00"
ทางเท้า,เพื่อนชัชชาติ,"ทางเท้าพัง มักมีรถมอเตอร์ไซค์ขี่บนทางเท้า","[100.578159,13.843431]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/1d6f57c079234ea6509a83a1c8505a18ecf91c09.jpg,"2344/2 ถ. พหลโยธิน แขวง เสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,เสนานิคม,กรุงเทพมหานคร,"2022-01-28 09:45:08.735097+00"
อื่นๆ,เพื่อนชัชชาติ,ต้นไม้สู้ชนสายไฟ,"[100.526468932852,13.7538179221389]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/59daee88396f5820772ada6e0d4c82a73c01e110.jpg,"110 4 ถนน บรรทัดทอง แขวง ถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย",ราชเทวี,ถนนเพชรบุรี,กรุงเทพมหานคร,"2022-01-28 07:05:33.551574+00"
ทางเท้า,เพื่อนชัชชาติ,"แยกปฏิพัทธ์ ตรงแนวรถไฟใกล้บีทีเอสอารี ไม่มีทางม้าลาย เสี่ยงโดนรถชน","[100.548135197593,13.7898972277768]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/8e9e9328852d2ed23b9048ad28b54c27ae53ec1e.jpg,"1467/8 ประดิพัทธ์ แขวง สามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ประเทศไทย",พญาไท,สามเสนใน,กรุงเทพมหานคร,"2022-01-28 06:57:16.449842+00"
จราจร,เพื่อนชัชชาติ,"ถนนมืดมาก บริเวณวงเวียนบางบำหรุ","[100.477001778781,13.7907330798282]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/4bb2752e6b970bc050bbd87cae1d97d63d390e08.jpg,"344 สิรินธร แขวง บางพลัด เขตบางพลัด กรุงเทพมหานคร 10700 ประเทศไทย",บางพลัด,บางพลัด,กรุงเทพมหานคร,"2022-01-28 06:27:04.326575+00"
ทางเท้า,เพื่อนชัชชาติ,"ทางเท้าอันตราย อาจจะเดินชนท้องบันไดสะพานลอยได้","[100.496841743588,13.7207018872419]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/c6aecf400e15f7e30e80f57b6607a316251a57e5.jpg,"51 ถ. กรุงธนบุรี แขวง คลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย",คลองสาน,บางลำภูล่าง,กรุงเทพมหานคร,"2022-01-28 06:24:05.533959+00"
ทางเท้า,เพื่อนชัชชาติ,"ทางเท้าแคบ รถเข็นผ่านไม่ได้","[100.495471805334,13.7207712631451]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/9a3a2378cb07ca799999f1b31d6e7bfdb54b9238.jpg,"วงเวียนใหญ่ แขวง คลองต้นไทร เขตคลองสาน กรุงเทพมหานคร 10600 ประเทศไทย",คลองสาน,บางลำภูล่าง,กรุงเทพมหานคร,"2022-01-28 06:22:39.599227+00"
จราจร,เพื่อนชัชชาติ,"ถนนสรณคมน์ เขตดอนเมือง เส้นจราจรและทางม้าลายไม่ชัดเจนครับ","[100.598814,13.925358]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/17834e2c2b991c7ee04733e8cbfcc97d02adb729.jpg,"371/9 หมู่ 3 แขวงสีกัน เขตดอนเมือง แขวง สีกัน เขตดอนเมือง กรุงเทพมหานคร 10210 ประเทศไทย",ดอนเมือง,สีกัน,กรุงเทพมหานคร,"2022-01-28 06:16:19.727149+00"
อื่นๆ,เพื่อนชัชชาติ,"เสาไฟฟ้า ปากซอยเพชรเกษม 63 เอียงมากครับ","[100.390632636845,13.7091666367942]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/33fa002f1d792b24e43e5cba9fbd084313fc9622.jpg,"113/9 ถ. เพชรเกษม แขวง หลักสอง เขตบางแค กรุงเทพมหานคร 10160 ประเทศไทย",บางแค,บางแคเหนือ,กรุงเทพมหานคร,"2022-01-28 04:50:43.109162+00"
อื่นๆ,เพื่อนชัชชาติ,ขยะ,"[100.515225939453,13.758243953085]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/4e72fb3b0add375d0c58ad4bbbcbd81c07d42495.jpg,"76 ถนน ลูกหลวง แขวง สี่แยกมหานาค เขตดุสิต กรุงเทพมหานคร 10300 ประเทศไทย",ดุสิต,สวนจิตรลดา,กรุงเทพมหานคร,"2022-01-28 04:09:47.823237+00"
จราจร,เพื่อนชัชชาติ,"เรื่องทางม้าลาย ตรงบริเวณทางเข้าสนามกอล์ฟยูนิโก้ค่ะ","[100.665895583326,13.743916135269]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/7eb7b15bf53704c0370a43dc93003c5571d03713.jpg,"PMV8+H9 กรุงเทพมหานคร ประเทศไทย",สะพานสูง,สะพานสูง,กรุงเทพมหานคร,"2022-01-28 03:34:38.072083+00"
ทางเท้า,เพื่อนชัชชาติ,"ทางม้าลายสามแยกนาหลวง ใกล้ม.เทคโนฯบางมด
พื้นสัญลักษณ์สีจางและทางลาดรอยต่อมีพื้นผิวขรุขระ","[100.495733,13.647293]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/bb7aac051a23f19f1d68eb418dbbf723a855767a.jpg,"18 ถ. ประชาอุทิศ แขวง บางมด เขตทุ่งครุ กรุงเทพมหานคร 10140 ประเทศไทย",ทุ่งครุ,บางมด,กรุงเทพมหานคร,"2022-01-28 03:18:37.847996+00"
อื่นๆ,เพื่อนชัชชาติ,"teamchadchart] เรียนท่านชัชชาติครับ รอบสนามกีฬาห้วยขวางโดยรอบมีสภาพเน่าเหม็น พ่อค้าแม่ค้าขายของบนฟุตบาท พอปิดร้านก็กองของไว้ตรงนั้นเลย ทิ้งขยะเละไปหมด ทางเท้าเดินไม่ได้ ฝากท่านชัชชาติปฏิรูปสนามกีฬาห้วยขวางและตลาดห้วยขวาง ด้วยครับผม ขอบคุณมากครับ (พิกัด Google Map : 13.775488799611876, 100.56883629143104)","[100.568768,13.775486]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/a395d76aced1f6dee7f172f9e7745a554db8b386.jpg,"2032/99 ถนน ประชาสงเคราะห์ แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2022-01-28 01:21:01.743212+00"
จราจร,เพื่อนชัชชาติ,งงแท้,"[100.565121,13.75606]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/e03b434591f61e46780b764f527d6d972f88b0e8.jpg,"310 ถนน ดินแดง แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10310 ประเทศไทย",ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,"2022-01-28 01:17:33.435269+00"
ทางเท้า,เพื่อนชัชชาติ,"หาบเร่แผงลอย ตั้งร้านทั้งบนฟุตบาท และบนถนน ค่ะ เส้นประชาสงเคราะห์ ทางไปตลาดห้วยขวาง","[100.572226883635,13.7780705205061]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/ffb34436e0d16051006bb135341d71d61294b3d8.jpg,"2 ถนน ประชาสงเคราะห์ แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2022-01-27 17:03:39.284688+00"
ทางเท้า,เพื่อนชัชชาติ,"แยกห้วยขวาง ตรงศาลพระพิฆเนศ ทาง กทม เอาแผงกั้นมาวาง บนฟุตบาท เพื่อไม่ให้หมอดูมาตั้งโต๊ะ แต่ มันทำให้คน ต้องลงไปเดินที่ถนน ค่ะ แล้วยิ่งวันที่ศาล มีงาน คือ เดินไม่ได้เลยค่ะ","[100.573448909487,13.7784665292857]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/fec65f2252cdccce73dae5f53eb4dfe968f96f08.jpg,"2 ถ. รัชดาภิเษก แขวง ดินแดง เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2022-01-27 17:01:38.665965+00"
ความปลอดภัย,เพื่อนชัชชาติ,"ฝากเรื่องครับ
09.30 27/1/65 ถ.พญาไท ช่วง รร.อำนวยศิลป์ มุ่งหน้าแยกศรีอยุธยา

พนง. กทม. ตัดต้นไม้ แบบนี้ พร้อมถุงขยะ กินบนเส้นถนน จะเป็นอันตราย ต่อ พนง. และ คนใช้รถนะครับ","[100.527336,13.76109]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/93513dc2ef8b1a92a88e3f28fcec638f738440b8.jpg,"146 ถนนศรีอยุธยา ถนนหน้าบ้าน แขวง ทุ่งพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย",ราชเทวี,ทุ่งพญาไท,กรุงเทพมหานคร,"2022-01-27 16:10:45.705729+00"
อื่นๆ,เพื่อนชัชชาติ,"1)ถ.สวนสยาม ตั้งแต่ ตรงห้างอะมอรินี่มา ไม่มีทางม้าลายให้ข้ามถนน","[100.690840557218,13.8082252276853]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/ea9a06e88df39763522d2fbaf0f598a9a7cadb08.jpg,"57 ถ. สวนสยาม แขวง คันนายาว เขตคันนายาว กรุงเทพมหานคร 10230 ประเทศไทย",คันนายาว,คันนายาว,กรุงเทพมหานคร,"2022-01-27 14:11:41.224882+00"
ทางเท้า,เพื่อนชัชชาติ,"รองเมืองซ.3 ออกมายาวตลอดแนวกำแพงรถไฟหัวลำโพงค่ะ","[100.518068,13.744034]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/c9f4c02ad0426b3aae45b7c660ae9f18325f009c.jpg,"74/24 Charat Mueang Alley แขวง รองเมือง เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย",ปทุมวัน,รองเมือง,กรุงเทพมหานคร,"2022-01-27 13:55:41.164103+00"
อื่นๆ,เพื่อนชัชชาติ,"Motorcycles ยังจอดบนทางม้าลาย","[100.52342645824,13.7559021466451]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/44a48fff32b94808d8e562d83efb9bc2898f6087.jpg,"46/17 ถนน พระรามที่ ๖ แขวง ถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย",ดุสิต,สวนจิตรลดา,กรุงเทพมหานคร,"2022-01-27 13:41:15.642161+00"
อื่นๆ,เพื่อนชัชชาติ,กลับรถกลางถนน,"[100.504751,13.768307]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/c2cb39a7d719101809f2e83d8027f7be5a1bb593.jpg,"152 ถนน กรุงเกษม แขวง บางขุนพรหม เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย",พระนคร,วัดสามพระยา,กรุงเทพมหานคร,"2022-01-27 13:26:08.360568+00"
อื่นๆ,เพื่อนชัชชาติ,"อยากให้ขยายรถ brt ราชพฤกษ์ ให้ไปเชื่อมต่อ  mrt ท่าพระ เพื่อเพิ่มความสะดวก ตรงนั้นรถเมล์น้อยมากครับ","[100.479262,13.715981]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/9cb916ea291bb5d22c0a58be4e512c79d675fb7d.jpg,"BRT ราชพฤกษ์ แขวง บุคคโล เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย",ธนบุรี,บางยี่เรือ,กรุงเทพมหานคร,"2022-01-27 12:00:54.838922+00"
อื่นๆ,เพื่อนชัชชาติ,"เครื่องวัดฝุ่นที่สวนสาธารณะพระราม3 เสียมาเกือบปีครับ","[100.517779,13.68518]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/ad3929825bcceee83d6a86dba8d23583b9d9c2a2.jpg,"อนุสรณ์ประวัติสะพานพระราม 9 500 ถ. พระรามที่ 3 แขวง บางโคล่ เขตบางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย",บางคอแหลม,บางโคล่,กรุงเทพมหานคร,"2022-01-27 11:56:50.540423+00"
อื่นๆ,เพื่อนชัชชาติ,"สาเหตุที่ต้องใช้ทางเท้าดังกล่าว เนื่องด้วยขับขี่มอเตอร์ไซค์ที่จอดของ รพ.อยู่บนถนนดังกล่าว แล้วต้องเดินทางเท้าเพื่อเข้าใช้บริการของ รพ. ครับ","[100.518102943897,13.7215656646313]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/f897fd52b6a10efa74b2dfe41700cc6744f41b9e.jpg,"138/51 อาคารจูเวลเลอรี่เซ็นเตอร์ ชั้นที่ 14 ห้องเลขที่ 14 G7 ถนนนเรศ แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 10500 แขวง สีลม เขตบางรัก กรุงเทพมหานคร 10500 ประเทศไทย",บางรัก,สีลม,กรุงเทพมหานคร,"2022-01-27 11:48:52.987631+00"
ขยะ,เพื่อนชัชชาติ,ถนนในซอยทรุดตรงทางเลี้ยวพื้นต่างระดับ,"[100.581809,13.894854]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/fea55c7173aa883bdf5167b82db04b5db92e29d6.jpg,"209/78 แจ้งวัฒนะ แขวง ทุ่งสองห้อง เขต หลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย",หลักสี่,ทุ่งสองห้อง,กรุงเทพมหานคร,"2022-01-27 11:36:38.27815+00"
อื่นๆ,เพื่อนชัชชาติ,"1. ทางม้าลายเลือนลางมากค่ะ ควรทาสีใหม่","[100.576976,13.880568]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/912c2e0bf3a2ec95817f4a623a3d19e74d1486e0.jpg,"39/32 ถ. กำแพงเพชร 6 แขวง ตลาดบางเขน เขต หลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย",หลักสี่,ทุ่งสองห้อง,กรุงเทพมหานคร,"2022-01-27 11:35:33.207812+00"
ความปลอดภัย,เพื่อนชัชชาติ,"ริมคลอง ข้างโบ๊เบ๊ทาวเวอร์ครับ","[100.517049841583,13.7532646147145]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/7018405c18ab99927e539741a1239feb1050ffdd.jpg,"1144 ถนน กรุงเกษม แขวง คลองมหานาค เขตป้อมปราบศัตรูพ่าย กรุงเทพมหานคร 10100 ประเทศไทย",ปทุมวัน,รองเมือง,กรุงเทพมหานคร,"2022-01-27 10:49:04.311856+00"
จราจร,เพื่อนชัชชาติ,"แจ้ง จุดเสี่ยง ที่กลับรถสถานนีรถไฟฟ้า ถนนพหลโยธิน 59 แขวงอนุสาวรีย์ เขตบางเขน                  ซึ่งเกิดอุบัติเหตุรถชน กันบ่อยมากครับ -ไม่มีสัญญาณเตือน ไม่ตีเส้นจราจรครับ ขอบคุณครับ","[100.601379498839,13.8834587445456]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/349661a0c94b06606e144bb1b230fec1e2d905bd.jpg,"หมู่บ้านฝนทอง แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย",บางเขน,อนุสาวรีย์,กรุงเทพมหานคร,"2022-01-27 10:39:17.314427+00"
ทางเท้า,เพื่อนชัชชาติ,ทางม้าลายจางมาก,"[100.550351142883,13.7456381081465]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/56091dedddbab995a3e9385476ddb1f7c8e1bcf9.jpg,"39/1 สุขุมวิท ซ. 1 แขวง คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย",ราชเทวี,มักกะสัน,กรุงเทพมหานคร,"2022-01-27 08:18:35.134416+00"
อื่นๆ,เพื่อนชัชชาติ,"เพิ่มเติมค่ะ ทางเท้า","[100.564854060135,13.7558550682463]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/53ed5c9ec5bb45eeabd66fdfdbf41a62d300de53.jpg,"310 ถนน ดินแดง แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10310 ประเทศไทย",ดินแดง,ดินแดง,กรุงเทพมหานคร,"2022-01-27 07:20:05.919003+00"
อื่นๆ,เพื่อนชัชชาติ,สายไฟหรือสายสื่อสารขวางทางเดิน,"[100.489849224687,13.7050487913467]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/65e9ea2d9e84cd20d142f1af001385e3a0df2829.jpg,"บริษัท เอ็มคอนเทรดดิ่ง จำกัด แขวง สำเหร่ เขตธนบุรี กรุงเทพมหานคร 10600 ประเทศไทย",ธนบุรี,สำเหร่,กรุงเทพมหานคร,"2022-01-27 05:38:58.702659+00"
ทางเท้า,เพื่อนชัชชาติ,มีการวางกองอะไหล่เก่าบนฟุตบาทเป็นจำนวนมาก,"[100.512704,13.735518]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/04c894a52d160afef81e2c82a17b6ead0270e359.jpg,"57 ซอย เจริญพานิชย์ แขวง ตลาดน้อย เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100 ประเทศไทย",สัมพันธวงศ์,สัมพันธวงศ์,กรุงเทพมหานคร,"2022-01-27 01:26:49.522097+00"
อื่นๆ,เพื่อนชัชชาติ,"ส่งรูปทางม้าลายไม่ชัดเจน และรถขายของเพิ่มเติม บริเวณตลาดทรัพย์นิมิตร","[100.618489310145,13.8248442058936]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/ed3178867cac77a6b21ae99b8b326f8c836185e8.jpg,"129 ถ. สุคนธสวัสดิ์ แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย",ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,"2022-01-26 13:32:37.177987+00"
อื่นๆ,เพื่อนชัชชาติ,ทดสอบระบบทางเท้า,"[100.479589,13.75047]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/f3bc7fbb4ba254acea6e3182f09e617d694141e2.jpg,"อิสรภาพ 2 ซอย อิสรภาพ 35 แขวง บ้านช่างหล่อ เขตบางกอกน้อย กรุงเทพมหานคร 10700 ประเทศไทย",บางกอกน้อย,บ้านช่างหล่อ,กรุงเทพมหานคร,"2022-01-26 10:00:29.853334+00"
ความปลอดภัย,เพื่อนชัชชาติ,ต้องการให้แก้ไขปรับปรุงจากข้อมูลข้างต้นครับ,"[100.640979,13.856488]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/ccd206c1cca8f1030eb42aa9a35902b4309ad6ac.jpg,"126/86 ถ. วัชรพล แขวง ท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย",บางเขน,ท่าแร้ง,กรุงเทพมหานคร,"2022-01-26 09:13:48.403752+00"
ความปลอดภัย,เพื่อนชัชชาติ,"ทางม้าลายมีปัญหา ดังนี้
1. ไม่มีป้ายเตือน
2. ไม่มีสัญญานไฟ
3. สีของทางข้ามเลือนลาง","[100.64097,13.856589]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/059699f8d056fee5291527ba884ce9a24278dcf5.jpg,"77 ถ. วัชรพล แขวง ท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10230 ประเทศไทย",บางเขน,ท่าแร้ง,กรุงเทพมหานคร,"2022-01-26 09:11:24.411721+00"
อื่นๆ,เพื่อนชัชชาติ,"แยก อสมท นะคะ","[100.569628179073,13.7558262679469]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/11ba36e0ce6ae1e3bff57e722428ebf8be129e4e.jpg,"ซอย ซอย 7 39 ถนน พระราม 9 แขวง ห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย",ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,"2022-01-26 07:37:49.541289+00"
อื่นๆ,เพื่อนชัชชาติ,"มีผ้อมตำรวจ แต่ก็ไม่ได้ออกมาทำหน้าที่อะไรเลย","[100.528410673141,13.8282717124688]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/d1dda946c4b09f89a48d77f1b6a653204fe9af47.jpg,"2508 ถ. กรุงเทพ - นนทบุรี แขวง วงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย",บางซื่อ,วงศ์สว่าง,กรุงเทพมหานคร,"2022-01-26 07:15:18.799438+00"
อื่นๆ,เพื่อนชัชชาติ,"คนพิการไม่สามารถใช้รถ wheel chair ผ่านได้","[100.550675354898,13.797262467295]",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/04f42eb5f44d0dab1dc537be5cee41792fc90fa3.jpg,"1667/2 ถ. พหลโยธิน แขวง จตุจักร เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย",จตุจักร,จตุจักร,กรุงเทพมหานคร,"2022-01-26 05:40:51.517577+00"
